complex_osm_id	complex_name	n_buildings	n_with_height	total_flats	n_with_flats	built_year	max_levels	subdistrict	flats_complete	height_complete
548704040.0	개포우성7차아파트	15	15	802	15	1987.0	14.0	일원동	True	True
548704041.0	대치1단지아파트	8	8	1619	8	1991.0	15.0	개포동	True	True
548704043.0	삼익대청아파트	6	6	822	6	1992.0	15.0	개포동	True	True
548704046.0	GS개포자이아파트	4	4	212	4	2004.0	22.0	개포동	True	True
548803573.0	한보미도맨션2차	11	11	1232	11	1985.0	14.0	대치동	True	True
548803574.0	한보미도맨션1차	10	10	1203	10	1983.0	14.0	대치동	True	True
548803577.0	개나리 래미안아파트	7	7	438	7	2006.0	22.0	역삼동	True	True
548803578.0	개나리푸르지오아파트	5	5	332	5	2006.0	24.0	역삼동	True	True
549692895.0	한양1차아파트	6	6	576	6	1983.0	12.0	송파동	True	True
549692896.0	한양2차아파트	9	9	672	9	1984.0	12.0	송파동	True	True
549692897.0	삼성래미안아파트	13	13	846	13	2001.0	23.0	송파동	True	True
549692899.0	개포우성2차아파트	5	5	450	5	1984.0	15.0	대치동	True	True
549692900.0	개포우성1차아파트	9	9	690	9	1983.0	15.0	대치동	True	True
556434063.0	서초네이처힐2단지아파트	8	8	133	8	2012.0	7.0		True	True
556434348.0	서초네이처힐1단지아파트	9	9	156	9	2012.0	7.0		True	True
559600505.0	논현신동아파밀리에아파트	6	6	646	6	1997.0	13.0	논현동	True	True
588027632.0	서초푸르지오써밋 2단지	2	2	296	2	2017.0	30.0		True	True
589460691.0	잠원현대훼밀리아파트	1	1	113	1	1997.0	17.0		True	True
589466065.0	래미안서초에스티지아파트	4	4	421	4	2016.0	33.0		True	True
589466066.0	래미안서초에스티지S아파트	5	5	593	5	2018.0	32.0		True	True
593865558.0	반포센트럴푸르지오써밋아파트	8	8	764	8	2018.0	35.0		True	True
601252646.0	서울숲트리마제	4	4	688	4	2017.0	47.0		True	True
606127876.0	서초우성5차아파트	2	2	408	2	1998.0	23.0		True	True
607709401.0	래미안신반포리오센트아파트	6	6	475	6	2019.0	32.0		True	True
614482637.0	대원킨타빌아파트	2	2	130	2	2001.0	17.0	신사동	True	True
614498537.0	삼성래미안2차아파트	8	8	275	8	2007.0	24.0	삼성동	True	True
614498542.0	삼성동중앙하이츠빌리지아파트	5	5	298	5	2004.0	22.0	삼성동	True	True
614498545.0	삼성동 한솔아파트	2	2	263	2	1998.0	19.0	삼성동	True	True
614498546.0	삼성동 현대아파트	1	1	198	1	1999.0	19.0	삼성동	True	True
614498547.0	한신오페라하우스1차아파트	2	2	63	2	2003.0	12.0	청담동	True	True
614498548.0	래미안라클래시아파트	8	7	679	7	2021.0	35.0	삼성동	False	False
614498549.0	청담삼성진흥아파트	3	3	180	3	1984.0	15.0	삼성동	True	True
614498550.0	삼성동힐스테이트2차아파트	12	12	926	12	2008.0	23.0	삼성동	True	True
614498553.0	삼성동현대아이파크아파트	3	3	449	3	2004.0	45.0	삼성동	True	True
614502551.0	삼성동 풍림1차아파트	1	1	252	1	1998.0	19.0	삼성동	True	True
614507236.0	삼호아파트	2	0	0	0			도곡동	False	False
614507239.0	현대아이파크도곡1차아파트	5	5	311	5	2007.0	27.0	도곡동	True	True
614507242.0	도곡삼익아파트	2	2	247	2	1983.0	13.0	도곡동	True	True
614507245.0	도곡동삼성래미안아파트	10	10	732	10	2001.0	24.0	도곡동	True	True
614507246.0	래미안도곡카운티아파트	8	8	397	8	2016.0	21.0	도곡동	True	True
614507249.0	대치아이파크아파트	11	11	768	11	2008.0	25.0	대치동	True	True
614693466.0	장미3차아파트	2	2	120	2	1979.0	12.0	신천동	True	True
636212514.0	래미안그레이튼3차아파트	8	7	416	7	2009.0	21.0	역삼동	False	False
636223076.0	대치SK뷰아파트	4	4	251	4	2017.0	20.0	대치동	True	True
637366149.0	대치롯데캐슬리베아파트	2	2	144	2	2008.0	18.0	대치동	True	True
644037585.0	강남데시앙포레아파트	14	14	787	14	2014.0	15.0	수서동	True	True
644037586.0	강남더샵포레스트아파트	10	10	400	10	2016.0	12.0	수서동	True	True
